id,Gender,Age,Height,Weight,FAF,BMI,FAF_value,Fitness_level,Gender_v,BMI_Cat,S
1,female,21,1.62,64,0,24.38652644,0,Intermediate,0,0,2.1
2,female,21,1.52,56,4 to 5,24.23822715,3.5,Advanced,0,0,4.9
3,male,23,1.8,77,3,23.7654321,2,Advanced,1,0,4.1
4,male,27,1.8,87,3,26.85185185,2,Intermediate,1,1,3
5,male,22,1.78,90,0,28.34238101,0,Beginner,1,1,0.9
6,male,29,1.62,53,0,20.19509221,0,Intermediate,1,0,3.1
7,female,23,1.5,55,1 to 2,24.44444444,1.5,Advanced,0,0,3.5
8,male,22,1.64,53,4 to 5,19.70553242,3.5,Advanced,1,0,5.2
9,male,24,1.78,64,1 to 2,20.19946976,1.5,Advanced,1,0,3.8
10,male,22,1.72,68,1 to 2,22.98539751,1.5,Advanced,1,0,3.6
11,male,26,1.85,105,3,30.67932798,2,Intermediate,1,1,2.9
12,female,21,1.72,80,3,27.04164413,2,Intermediate,0,1,2.2
13,male,22,1.65,56,3,20.56932966,2,Advanced,1,0,4
14,male,41,1.8,99,3,30.55555556,2,Advanced,1,1,4.4
15,male,23,1.77,60,1 to 2,19.15158479,1.5,Advanced,1,0,3.7
16,female,22,1.7,66,3,22.83737024,2,Advanced,0,0,3.8
17,male,27,1.93,102,1 to 2,27.38328546,1.5,Intermediate,1,1,2.6
18,female,29,1.53,78,0,33.32051775,0,Beginner,0,1,1.4
19,female,30,1.71,82,0,28.04281659,0,Beginner,0,1,1.5
20,female,23,1.65,70,0,25.71166208,0,Beginner,0,1,0.8
21,male,22,1.65,80,4 to 5,29.38475666,3.5,Advanced,1,1,3.7
22,female,52,1.69,87,0,30.46111831,0,Beginner,0,1,-2.4
23,female,22,1.65,60,1 to 2,22.03856749,1.5,Intermediate,0,0,3.4
24,female,22,1.6,82,0,32.03125,0,Beginner,0,1,0.7
25,male,21,1.85,68,0,19.86851717,0,Intermediate,1,0,2.3
26,male,20,1.6,50,4 to 5,19.53125,3.5,Advanced,1,0,5
27,male,21,1.7,65,1 to 2,22.49134948,1.5,Advanced,1,0,3.5
28,female,23,1.6,52,3,20.3125,2,Advanced,0,0,3.9
29,male,19,1.75,76,4 to 5,24.81632653,3.5,Advanced,1,0,4.9
30,male,23,1.68,70,3,24.8015873,2,Advanced,1,0,4.1
